dlpf_hz,delay_ms,samples,gx_std,gy_std,gz_std,ax_std_mg,ay_std_mg,az_std_mg,gx_psd_floor,gy_psd_floor,gz_psd_floor
256,0.98,41112,0.12960439059936546,0.13556233269621748,0.13115308192632888,2.0876772959213,2.136595612799852,3.198052454458062,5.485802508708961e-05,7.610955088149558e-05,6.715853011643362e-05
188,1.9,41329,0.11524714056450676,0.10682653471274758,0.09903198845928297,2.1122886794872615,2.12362306960164,3.0946105817878276,4.515477843103074e-05,6.91407750112061e-05,6.0088210092062736e-05
98,2.8,40026,0.07132082105539402,0.09025562129006481,0.0774082701362835,7.268778420787347,60.088896183813844,390.77102200198215,3.5072116419072894e-05,5.195256624213184e-05,4.584752055348728e-05
42,4.8,40323,0.05188399596767505,0.0611176428085162,0.05536692164798403,2.2762964034899213,2.203923261042039,3.087823556480119,2.1504456251326778e-05,3.2008136693772996e-05,2.6426250910372392e-05
20,8.3,40899,0.03638747629645507,0.04593719346285477,0.040550264632310803,4855.599115051285,2.2084898329907108,3.0666686399822822,1.0443274521775978e-05,1.6615677194957855e-05,1.3345195989408752e-05
10,13.4,40313,0.026322447586065965,0.031246722252335064,0.029083907938148183,423.5532544986808,94.5854794390173,3.1009993596022682,3.832977098724153e-06,5.462938198329819e-06,4.937513247845182e-06
5,18.6,39832,0.02221689477714722,0.06764577009515901,0.0224134452055185,440.83645608194877,2.3162866514936598,3.149277819426737,1.405796665660702e-06,2.1275243577911954e-06,1.6393229680748009e-06
