algo,kp,ki,beta,drift_roll,drift_pitch,drift_yaw,noise_roll,noise_pitch,dyn_roll,dyn_pitch,score
Mahony,0.1,0.0,,14.756274844409363,3324.8643861798114,17.24648928046591,0.007212133790477989,1.680045657799549,16.66506004333496,1.5384098291397095,0.20962319686050535
Mahony,0.1,0.01,,171.1954605209651,5262.511689952065,170.20683874904086,1.1858582750885045,1.403646726244728,16.663671493530273,1.4742951393127441,0.2694876932037306
Mahony,0.1,0.05,,16496.345929963347,1708.2328034994334,16490.727191100625,43.95211123861916,18.764297664099452,17.55767822265625,1.5358511209487915,0.5655424277350296
Mahony,0.1,0.1,,14463.416755843871,789.3864966096108,14461.011347763542,48.64585394936516,17.485519143858983,18.79228973388672,1.5988510847091675,0.530602344153216
Mahony,0.1,0.3,,-6818.51235741556,-89.6641785000948,-6802.768515524619,83.07807059163595,17.728556913014586,13.371726036071777,1.6109274625778198,0.4360014638476939
Mahony,0.1,0.5,,-1221.631678779801,709.9530660058606,-1207.023716820492,89.06679926691321,18.784389343576194,23.860088348388672,1.7807761430740356,0.5475904297449551
Mahony,0.1,1.0,,-4602.850061779847,446.51288351557,-4581.132261307149,86.70278639532282,19.22845027891403,14.065844535827637,2.305570602416992,0.4838639304806776
Mahony,0.3,0.0,,109.02161697251002,3481.9245147566135,110.52908063680792,0.07305799937614638,7.197263416252887,9.687451362609863,1.410045862197876,0.17760476092894587
Mahony,0.3,0.01,,9472.304035602341,3833.6802132084076,9473.139536362012,43.702078166303444,8.276371690731592,9.687111854553223,1.4496012926101685,0.37613589182213175
Mahony,0.3,0.05,,15488.743403752349,2015.3289034505838,15489.272422639919,45.64858008300363,12.52941820109883,9.700575828552246,1.5567848682403564,0.4248403946274171
Mahony,0.3,0.1,,12689.248566201433,1865.2866996609025,12692.020596031023,50.74481300314201,11.241784698377726,9.75432300567627,1.5969772338867188,0.3925895559271932
Mahony,0.3,0.3,,-8454.72694682326,1160.0785714351991,-8443.747996025539,78.60430273406224,10.596609807608196,20.448339462280273,1.6557157039642334,0.49951156046354916
Mahony,0.3,0.5,,-916.860539803556,1658.7173430961723,-905.0532107343861,88.41604083200542,10.82353436818749,22.811792373657227,1.7407138347625732,0.49043947615334726
Mahony,0.3,1.0,,-6285.584651789263,1575.9138971755365,-6269.48145685121,83.29658937002236,11.740620200352573,9.99910831451416,1.8983802795410156,0.4003051772816069
Mahony,0.5,0.0,,156.64097765225858,2318.877546601911,159.68755978157665,0.18098577345948005,7.8559945407444625,15.344498634338379,1.5563381910324097,0.2187288334927757
Mahony,0.5,0.01,,523.9218266470892,2458.8962549689627,526.8093691866976,0.523835413158709,8.26224795105229,15.441988945007324,1.5807340145111084,0.23325561384192584
