label,samples,roll_rms_deg,pitch_rms_deg,roll_ptp_deg,pitch_ptp_deg,accel_dev_g,gyro_max_dps,gyro_mean_dps
Fixed Kp,2116,73.9877714459856,54.83706876758736,353.34000000000003,149.66000000000003,0.17658168532621793,416.16712039756334,155.04081169201737
Adaptive Kp,2154,49.43250174235753,25.87762588624942,129.35,79.95,0.1523928001537161,421.0929456782671,161.5681612077566
